 A B C D E
0 44054 9540 78383 72681 97176
1 56811 76364 96056 28769 38514
2 80313 42332 64670 17996 41677
3 81432 49217 54326 79925 60445
4 20771 87603 94573 73286 21250
5 81295 15680 80926 53568 31304
6 69801 26961 86824 36195 71899
7 45192 92986 65515 91092 23048
8 65905 36871 74303 44642 93844
9 6138 67425 4511 71626 29128
10 26401 65425 88394 45877 36146
11 70733 51064 92931 3567 33955
12 76949 52986 8493 78147 18953
13 76851 55584 20500 13492 28846
14 52676 86804 58304 57582 30463
15 86631 21071 95990 93614 66804
16 36662 35297 4225 29695 15866
17 76435 95175 25197 80395 11485
18 51559 99208 45061 71773 17328
19 12076 92079 27753 8347 73000
20 53360 52813 36749 77425 44766
21 99749 51245 30660 15122 34884
22 8304 69247 99917 56413 2196
23 39242 29927 16551 78321 48753
24 48905 74487 19691 43611 19476
25 24074 17022 31459 27355 87644
26 70492 74184 45814 20629 20885
27 42134 55153 62545 52856 4357
28 14419 71845 62394 70757 13742
29 13185 35128 31948 85443 76702
30 96431 47471 16666 60995 85491
31 92294 38791 6374 36253 28325
32 82003 78317 63862 58272 19382
33 38967 89725 99713 47542 12064
34 72181 48307 22982 17277 71707
35 95505 59326 45226 32172 6362
36 12570 69283 11776 40161 27343
37 48670 45132 24982 49259 30722
38 50364 30589 19925 71495 34406
39 12396 47452 20448 67862 93279
40 28698 66943 95755 86322 59653
41 73788 90403 50101 25109 92714
42 98931 43047 11193 91900 34088
43 70646 95921 96100 91481 58482
44 13318 10887 43705 79567 48329
45 54853 74928 80162 34475 87396
46 27575 96351 9124 54433 91962
47 72701 81610 34958 70821 5979
48 23180 95513 22909 85286 32647
49 24623 44168 47591 77275 10431
50 55049 86542 32009 66151 9132
51 73223 85236 36666 84471 20875
52 27929 77532 22367 35471 24126
53 6144 26358 16309 79585 67292
54 98423 54131 12203 89306 69786
55 10105 39010 9782 48601 35306
56 93394 57604 64476 10844 62699
57 70803 34743 76887 95609 30161
58 61912 31935 39112 71506 53622
59 67793 70384 30717 55619 44993
60 38673 59157 71772 80377 78507
61 40701 62200 65100 87547 34229
62 24185 62227 42381 36041 80729
63 24515 16248 54987 25325 97647
64 36415 42021 69092 28258 87722
65 54528 95210 65679 34765 7064
66 88368 17382 29876 20446 81634
67 29929 15756 35199 30603 19218
68 51970 44309 58140 35332 73593
69 14581 49395 63844 68400 2364
70 29036 34632 90772 18528 55119
71 58688 12317 2488 60877 39651
72 32007 92592 16717 29737 97217
73 57911 1070 37005 21716 11090
74 63256 2840 13893 25334 61160
75 28292 1393 98819 6472 32225
76 34528 366 39328 62895 99275
77 65247 11099 13194 90306 99452
78 79368 71975 59702 17711 52063
79 86956 51621 90282 92190 98703
80 17762 24688 23309 32947 6669
81 9665 74165 39812 20211 64088
82 23134 82431 66714 28272 23439
83 72610 61254 43169 38069 59730
84 98227 14513 77572 44222 26492
85 85036 51634 77652 17651 39119
86 72045 47568 3044 65271 14912
87 82672 64302 1850 44133 28735
88 51359 2155 15356 86445 55103
89 34462 15636 57788 605 46237
90 86094 21048 82407 35151 87733
91 25650 34716 83771 92083 24795
92 56258 67373 59588 95489 51691
93 79122 75853 70538 49052 89366
94 6133 19885 9554 95912 317
95 10307 29078 73368 59661 30023
96 42023 97410 66027 49037 7820
97 81300 46653 98018 23417 126
98 92342 52845 33847 9415 77110
99 87840 53721 46558 17996 69739
100 17005 31118 43763 23252 36524
101 58824 40321 46876 8317 62108
102 27063 58754 76951 33759 47465
103 93973 28153 67646 23814 71974
104 75806 24414 98965 99050 65601
105 99517 65185 33960 73701 810
106 71903 38482 17891 88546 71503
107 27255 61438 41947 89300 2257
108 15016 13620 6067 78658 26142
109 41631 53167 97622 34246 29309
110 40150 30954 61161 41858 79630
111 99524 16876 19698 91718 43713
112 42577 2863 1104 99797 29806
113 92661 48353 61161 4641 43230
114 50794 37900 44559 40882 14537
115 10049 61040 85182 70337 68595
116 83271 58040 85322 62875 16728
117 51772 78062 18406 3579 37706
118 12953 63228 78736 5847 5348
119 96382 19335 81778 1455 90680
120 16183 94018 61987 51958 11878
121 40445 66210 85191 10105 88874
122 55305 73500 14346 22149 64216
123 9975 87215 19983 54374 51287
124 65462 39133 57184 1966 78134
125 75389 33133 3972 50315 43536
126 89316 40027 11026 27305 89422
127 59965 70243 14448 21697 69508
128 2722 49949 64215 1541 29481
129 19617 2946 89619 27159 37915
130 23946 59153 7905 21143 68728
131 76246 63785 22243 87688 60128
132 64971 24099 50973 56423 314
133 41197 39995 60519 72775 3913
134 19569 1982 4538 10541 92658
135 91021 61073 34816 96157 18219
136 72811 95321 67544 23426 66055
137 72188 53240 93895 64025 51139
138 36319 74779 71376 36149 93504
139 98171 82877 62846 37829 33799
140 93724 18707 37075 18738 85707
141 68403 21117 93326 47736 22314
142 58615 56712 55029 44672 60055
143 36057 67706 12169 62054 57159
144 38239 56209 21875 50265 88517
145 30106 57859 538 55780 98006
146 82633 37915 91076 437 2608
147 53285 10306 46422 65550 59350
148 62661 17673 88714 16342 82701
149 11109 94281 51733 64671 25359
150 17793 81799 87217 95014 82345
151 27548 79003 94598 41986 84157
152 17918 51190 23126 15566 89325
153 20248 77155 58647 96699 33181
154 88714 88704 77260 16511 79534
155 30407 91720 32197 27651 43997
156 70868 79644 78644 60738 39740
157 30560 59568 86533 91654 2414
158 43905 44997 65621 11343 10682
159 94611 42995 99471 15015 23319
160 44447 44954 4801 15972 29493
161 1033 77301 66543 21643 30129
162 32812 93004 95003 37405 40892
163 1741 32395 80577 50530 21447
164 30698 71239 14511 24781 10534
165 21015 39274 26470 74469 87186
166 32215 38902 37319 75294 96318
167 5502 73600 44809 33855 25573
168 93690 65329 39446 84064 55472
169 11982 77178 59543 24329 49838
170 52658 27002 87550 99788 35240
171 94168 73947 69714 88676 44051
172 19147 84858 42296 69918 45954
173 90488 7062 70769 62545 96114
174 49445 77446 2644 69977 85292
175 53875 19340 80391 71406 41306
176 36667 92826 27570 22151 25253
177 78619 41277 87573 45345 60249
178 53121 27075 60640 54436 67562
179 64638 79329 41243 66801 15970
180 70411 11157 77133 65091 23835
181 42822 11798 77330 21695 62741
182 43724 86932 61688 77056 39725
183 26007 89107 21962 83676 2146
184 77792 81096 67048 48782 70471
185 3605 54850 48535 39797 10893
186 3026 27839 7291 11356 30370
187 73365 92899 26749 8334 23996
188 64987 97424 96874 42732 89428
189 21470 83792 89601 5555 4456
190 52026 87519 57897 77840 95661
191 57696 20466 71742 78541 96585
192 23135 58479 6354 29727 58366
193 49831 49625 29531 37926 69175
194 72666 69299 61708 20298 54408
195 23945 87179 42153 74240 88785
196 98575 42844 17172 11894 28102
197 69547 38083 92612 60585 14508
198 96068 94129 9755 82294 55981
199 33572 40469 16905 69411 24250
200 89240 92484 5940 83357 7036
201 33530 3643 90336 59377 55213
202 48837 51469 14720 93504 25007
203 88431 9959 57127 6762 50128
204 47417 45416 24012 88990 62376
205 66871 22973 2720 5589 82471
206 66340 98451 58775 32393 39415
207 40822 84119 10022 61540 2590
208 58126 21869 59049 59531 12523
209 90857 44977 34867 50021 58472
210 33475 36260 23767 70440 96463
211 6195 21032 66962 5855 105
212 75150 48899 36342 86122 46456
213 77341 51104 23126 75018 14989
214 26713 45488 92408 97347 94689
215 35617 33429 79976 62403 29646
216 25855 65110 81324 75485 66593
217 18509 79814 40939 66361 53684
218 74461 10041 15249 43272 16061
219 43738 22215 58654 40602 90584
220 64091 79330 56541 71076 54146
221 52043 837 94639 1570 18132
222 74018 25195 88416 97355 2508
223 29841 55581 98207 34691 60265
224 7381 71927 17633 67684 98587
225 37400 61050 68440 33177 48217
226 53236 53694 14659 26923 18900
227 85144 67211 47427 97176 29116
228 89303 23026 82523 61146 70587
229 84117 91435 23486 63488 42108
230 69978 57063 67302 16226 95712
231 10411 62456 17170 60833 11162
232 17804 59303 84884 20362 16754
233 17107 70707 63794 61560 25832
234 87421 13460 12604 17656 78916
